Search rep 1 (of 2)
random seed = 220553
gen	best_like	time	optPrecision
11270	-5004.166327	203	0.353
11280	-5004.160757	203	0.353
11290	-5004.160757	203	0.353
11300	-5004.159638	203	0.353
11310	-5004.159638	203	0.353
11320	-5004.157861	203	0.353
11330	-5004.156986	203	0.353
11340	-5004.155288	203	0.353
11350	-5004.148269	203	0.353
11360	-5004.148269	203	0.353
11370	-5004.14474	203	0.353
11380	-5004.14474	203	0.353
11390	-5004.141866	203	0.353
11400	-5004.140872	203	0.353
11410	-5004.139268	204	0.353
11420	-5004.139267	204	0.353
11430	-5004.139267	204	0.353
11440	-5004.13593	204	0.353
11450	-5004.13583	204	0.353
11460	-5004.13541	204	0.353
11470	-5004.135398	204	0.353
11480	-5004.135392	204	0.353
11490	-5004.126606	204	0.353
11500	-5004.126606	204	0.353
11510	-5004.120763	204	0.353
11520	-5004.120469	204	0.353
11530	-5004.120181	204	0.353
11540	-5004.119414	204	0.353
11550	-5004.11303	204	0.353
11560	-5004.104455	204	0.353
11570	-5004.094816	204	0.353
11580	-5004.055529	204	0.353
11590	-5004.055529	204	0.353
11600	-5004.055529	204	0.353
11610	-5004.055141	204	0.304
11620	-5004.053152	204	0.304
11630	-5004.05313	204	0.304
11640	-5004.053123	204	0.304
11650	-5004.043695	204	0.304
11660	-5004.043501	204	0.304
11670	-5004.043501	205	0.304
11680	-5004.036573	205	0.304
11690	-5004.036557	205	0.304
11700	-5004.034727	205	0.304
11710	-5004.034606	205	0.304
11720	-5004.034606	205	0.304
11730	-5004.028661	205	0.304
11740	-5004.025226	205	0.304
11750	-5004.025226	205	0.304
11760	-5004.025009	205	0.304
11770	-5004.021865	205	0.304
11780	-5004.021855	205	0.304
11790	-5004.021854	205	0.304
11800	-5004.021854	205	0.304
11810	-5004.016134	205	0.304
11820	-5004.015867	205	0.304
11830	-5004.015867	205	0.304
11840	-5004.00242	205	0.304
11850	-5004.001901	205	0.304
11860	-5004.001784	205	0.304
11870	-5004.001559	205	0.304
11880	-5004.001559	205	0.304
11890	-5004.001559	205	0.304
11900	-5003.999541	205	0.304
11910	-5003.997622	205	0.304
11920	-5003.997422	205	0.304
11930	-5003.995608	206	0.304
11940	-5003.990309	206	0.304
11950	-5003.990283	206	0.304
11960	-5003.988992	206	0.304
11970	-5003.986386	206	0.304
11980	-5003.986258	206	0.304
11990	-5003.986117	206	0.304
12000	-5003.982426	206	0.304
12010	-5003.981667	206	0.304
12020	-5003.981667	206	0.304
12030	-5003.977272	206	0.304
12040	-5003.974738	206	0.304
12050	-5003.972873	206	0.304
12060	-5003.970226	206	0.304
12070	-5003.969727	206	0.304
12080	-5003.968498	206	0.304
12090	-5003.968498	206	0.304
12100	-5003.968435	206	0.304
12110	-5003.571791	206	0.255
12120	-5003.57119	206	0.255
12130	-5003.571188	206	0.255
12140	-5003.570842	206	0.255
12150	-5003.568635	206	0.255
12160	-5003.568364	206	0.255
